guid,country name,country borders,tags,map,country info,country border info
BQ/yZow~et,Denmark,Germany,"UG::Europe, UG::European_Union, UG::Sovereign_State","<img src=""ug-map-denmark.png"" />",,
ti-n79iKwV,Djibouti,"Somalia, Ethiopia, Eritrea","UG::Africa, UG::East_Africa, UG::Sovereign_State","<img src=""ug-map-djibouti.png"" />",,
em-I^;%x|F,Dominican Republic,Haiti,"UG::Caribbean, UG::North_America, UG::Sovereign_State","<img src=""ug-map-dominican_republic.png"" />",,
"qiF_3>nm,5",East Timor,Indonesia,"UG::Asia, UG::Southeast_Asia, UG::Sovereign_State","<img src=""ug-map-east_timor.png"" />",Also known as Timor-Leste.,
E[r/r1XKOW,Ecuador,"Colombia, Peru","UG::South_America, UG::Sovereign_State","<img src=""ug-map-ecuador.png"" />",,
"C&c,@kIqLE",Egypt,"Sudan, Libya, Israel, Palestine","UG::Africa, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State","<img src=""ug-map-egypt.png"" />",,
@0&/pF3cz,El Salvador,"Honduras, Guatemala","UG::North_America, UG::Sovereign_State","<img src=""ug-map-el_salvador.png"" />",,
wGJ:^?Q[.},Equatorial Guinea,"Cameroon, Gabon","UG::Africa, UG::Sovereign_State","<img src=""ug-map-equatorial_guinea.png"" />",,
Bp.u+)rEY%,Eritrea,"Ethiopia, Djibouti, Sudan","UG::Africa, UG::East_Africa, UG::Sovereign_State","<img src=""ug-map-eritrea.png"" />",,
l;36=)BoF],Estonia,"Latvia, Russia","UG::Europe, UG::European_Union, UG::Sovereign_State","<img src=""ug-map-estonia.png"" />",,
q5{pwsz|*P,Eswatini,"Mozambique, South Africa","UG::Africa, UG::Sovereign_State","<img src=""ug-map-eswatini.png"" />",Known as Swaziland until 2018.,
ss}:^)<>J;,Ethiopia,"Sudan, Djibouti, Somalia, Eritrea, South Sudan, Kenya","UG::Africa, UG::East_Africa, UG::Sovereign_State","<img src=""ug-map-ethiopia.png"" />",,
r(/1uyiC*S,Finland,"Russia, Sweden, Norway","UG::Europe, UG::European_Union, UG::Sovereign_State","<img src=""ug-map-finland.png"" />",,
QyTf!1Xy6e,France,"Belgium, Germany, Monaco, Spain, Switzerland, Luxembourg, Italy, Andorra","UG::Europe, UG::European_Union, UG::Mediterranean, UG::Sovereign_State","<img src=""ug-map-france.png"" />",,
PN52([z<IJ,French Guiana,"Suriname, Brazil",UG::South_America,"<img src=""ug-map-french_guiana.png"" />",Overseas department of France.,
oG&)fo7&Ma,Gabon,"Republic of the Congo, Equatorial Guinea, Cameroon","UG::Africa, UG::Sovereign_State","<img src=""ug-map-gabon.png"" />",,
d/`B%2IEB&,Georgia,"Turkey, Azerbaijan, Russia, Armenia","UG::Europe, UG::Sovereign_State","<img src=""ug-map-georgia.png"" />",,
QLtf6asj3U,Germany,"Netherlands, Denmark, France, Poland, Switzerland, Czech Republic, Austria, Belgium, Luxembourg","UG::Europe, UG::European_Union, UG::Sovereign_State","<img src=""ug-map-germany.png"" />",,
wH6FIWqD9i,Ghana,"Togo, Burkina Faso, Ivory Coast","UG::Africa, UG::Sovereign_State, UG::West_Africa","<img src=""ug-map-ghana.png"" />",,
xtS(X9X/L-,Gibraltar,Spain,"UG::Europe, UG::Mediterranean","<img src=""ug-map-gibraltar.png"" />",Overseas territory of the United Kingdom.,
crKp]ufB:;,Greece,"Turkey, Albania, Bulgaria, North Macedonia","UG::Europe, UG::European_Union, UG::Mediterranean, UG::Sovereign_State","<img src=""ug-map-greece.png"" />",,
AsQ3QU4/(U,Guatemala,"Belize, Honduras, Mexico, El Salvador","UG::North_America, UG::Sovereign_State","<img src=""ug-map-guatemala.png"" />",,
s_D4?de]1!,Guinea,"Sierra Leone, Ivory Coast, Guinea-Bissau, Liberia, Mali, Senegal","UG::Africa, UG::Sovereign_State, UG::West_Africa","<img src=""ug-map-guinea.png"" />",,
b93*mP?0tY,Guinea-Bissau,"Senegal, Guinea","UG::Africa, UG::Sovereign_State, UG::West_Africa","<img src=""ug-map-guinea-bissau.png"" />",,
"jXjm&,u[WN",Guyana,"Suriname, Venezuela, Brazil","UG::South_America, UG::Sovereign_State","<img src=""ug-map-guyana.png"" />",,
u)>e+1?K1},Haiti,Dominican Republic,"UG::Caribbean, UG::North_America, UG::Sovereign_State","<img src=""ug-map-haiti.png"" />",,
kIDiLU/:=g,Honduras,"Guatemala, El Salvador, Nicaragua","UG::North_America, UG::Sovereign_State","<img src=""ug-map-honduras.png"" />",,
G;QUB`<^HC,Hungary,"Serbia, Slovakia, Slovenia, Croatia, Austria, Ukraine, Romania","UG::Europe, UG::European_Union, UG::Sovereign_State","<img src=""ug-map-hungary.png"" />",,
n)qZK*R[{M,India,"China, Bangladesh, Bhutan, Myanmar, Nepal, Pakistan","UG::Asia, UG::Sovereign_State","<img src=""ug-map-india.png"" />",,
y~^)s@M~?p,Indonesia,"Papua New Guinea, East Timor, Malaysia","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State","<img src=""ug-map-indonesia.png"" />",,
p(15V7@F0r,Iran,"Turkmenistan, Pakistan, Azerbaijan, Armenia, Turkey, Afghanistan, Iraq","UG::Asia, UG::Middle_East, UG::Sovereign_State","<img src=""ug-map-iran.png"" />",,
ln.kw}L}tz,Iraq,"Iran, Jordan, Kuwait, Saudi Arabia, Turkey, Syria","UG::Asia, UG::Middle_East, UG::Sovereign_State","<img src=""ug-map-iraq.png"" />",,
qr`5nA-E^x,Ireland,United Kingdom,"UG::Europe, UG::European_Union, UG::Sovereign_State","<img src=""ug-map-ireland.png"" />",,
raQ8|TLUiM,Israel,"Jordan, Lebanon, Palestine, Syria, Egypt","UG::Asia, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State","<img src=""ug-map-israel.png"" />",,
dT93Kt|(K^,Italy,"Austria, Vatican City, Switzerland, Slovenia, San Marino, France","UG::Europe, UG::European_Union, UG::Mediterranean, UG::Sovereign_State","<img src=""ug-map-italy.png"" />",,
"iOUh.2g,o",Ivory Coast,"Ghana, Mali, Liberia, Burkina Faso, Guinea","UG::Africa, UG::Sovereign_State, UG::West_Africa","<img src=""ug-map-ivory_coast.png"" />",Officially Côte d'Ivoire.,
cy_F{!;17*,Jordan,"Palestine, Iraq, Israel, Syria, Saudi Arabia","UG::Asia, UG::Middle_East, UG::Sovereign_State","<img src=""ug-map-jordan.png"" />",,
IK$%y^KZUS,Kazakhstan,"China, Uzbekistan, Turkmenistan, Kyrgyzstan, Russia","UG::Asia, UG::Sovereign_State","<img src=""ug-map-kazakhstan.png"" />",,
BQ4uY};8Sc,Kenya,"Somalia, Uganda, Tanzania, Ethiopia, South Sudan","UG::Africa, UG::East_Africa, UG::Sovereign_State","<img src=""ug-map-kenya.png"" />",,
p+$[|aeRpt,Kosovo,"North Macedonia, Albania, Serbia, Montenegro","UG::Europe, UG::Sovereign_State","<img src=""ug-map-kosovo.png"" />",Partially recognised state claimed by Serbia.,
H*1G*mt9VR,Kuwait,"Saudi Arabia, Iraq","UG::Asia, UG::Middle_East, UG::Sovereign_State","<img src=""ug-map-kuwait.png"" />",,
K=*(gW}&q#,Kyrgyzstan,"Kazakhstan, China, Tajikistan, Uzbekistan","UG::Asia, UG::Sovereign_State","<img src=""ug-map-kyrgyzstan.png"" />",,
vF@9Xg1fQ),Laos,"Thailand, Cambodia, China, Myanmar, Vietnam","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State","<img src=""ug-map-laos.png"" />",,
jn~6G]opL6,Latvia,"Lithuania, Russia, Belarus, Estonia","UG::Europe, UG::European_Union, UG::Sovereign_State","<img src=""ug-map-latvia.png"" />",,
uWvJ=H-3n@,Lebanon,"Syria, Israel","UG::Asia, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State","<img src=""ug-map-lebanon.png"" />",,
M=gEz5/vRU,Lesotho,South Africa,"UG::Africa, UG::Sovereign_State","<img src=""ug-map-lesotho.png"" />",,
